Date,High,Low,Open,Close,Volume,Adj Close
2019-01-01,3850.913818359375,3707.231201171875,3746.71337890625,3843.52001953125,4324200990,3843.52001953125
2019-01-02,3947.981201171875,3817.409423828125,3849.21630859375,3943.409423828125,5244856836,3943.409423828125
2019-01-03,3935.68505859375,3826.222900390625,3931.048583984375,3836.7412109375,4530215219,3836.7412109375
2019-01-04,3865.9345703125,3783.853759765625,3832.0400390625,3857.717529296875,4847965467,3857.717529296875
2019-01-05,3904.903076171875,3836.900146484375,3851.973876953125,3845.194580078125,5137609824,3845.194580078125
2019-01-06,4093.29736328125,3826.51318359375,3836.51904296875,4076.632568359375,5597027440,4076.632568359375
2019-01-07,4092.613525390625,4020.89404296875,4078.5849609375,4025.248291015625,5228625637,4025.248291015625
2019-01-08,4109.02099609375,3996.955322265625,4028.47216796875,4030.847900390625,5306593305,4030.847900390625
2019-01-09,4068.403564453125,4022.662841796875,4031.552001953125,4035.29638671875,5115905225,4035.29638671875
2019-01-10,4064.066650390625,3659.174560546875,4034.411376953125,3678.924560546875,6874143796,3678.924560546875
2019-01-11,3713.8818359375,3653.06982421875,3674.015380859375,3687.365478515625,5538712865,3687.365478515625
2019-01-12,3698.978271484375,3653.810791015625,3686.97314453125,3661.301025390625,4778170883,3661.301025390625
2019-01-13,3674.760009765625,3544.92724609375,3658.8681640625,3552.953125,4681302466,3552.953125
2019-01-14,3727.836181640625,3552.28515625,3557.31103515625,3706.05224609375,5651384490,3706.05224609375
2019-01-15,3720.1533203125,3619.94921875,3704.21630859375,3630.67529296875,5537192302,3630.67529296875
2019-01-16,3685.777099609375,3624.67333984375,3631.509765625,3655.0068359375,5394457145,3655.0068359375
2019-01-17,3680.135986328125,3621.9609375,3651.87109375,3678.56396484375,5464420383,3678.56396484375
2019-01-18,3682.52001953125,3637.080810546875,3677.990478515625,3657.83935546875,5002961727,3657.83935546875
2019-01-19,3758.533447265625,3652.3779296875,3652.3779296875,3728.568359375,5955691380,3728.568359375
2019-01-20,3743.387939453125,3583.01953125,3725.446044921875,3601.013671875,5582489560,3601.013671875
2019-01-21,3608.8408203125,3558.537109375,3600.372802734375,3576.032470703125,5004347059,3576.032470703125
2019-01-22,3620.74658203125,3539.721435546875,3575.081298828125,3604.5771484375,5313623556,3604.5771484375
2019-01-23,3623.06787109375,3565.31396484375,3605.55712890625,3585.123046875,5433755649,3585.123046875
2019-01-24,3616.08740234375,3569.0927734375,3584.500244140625,3600.865478515625,5262869046,3600.865478515625
2019-01-25,3612.927734375,3575.597412109375,3607.390380859375,3599.765869140625,5265847539,3599.765869140625
2019-01-26,3654.93310546875,3593.345947265625,3599.71533203125,3602.46044921875,5098183235,3602.46044921875
2019-01-27,3612.67138671875,3567.245849609375,3604.687255859375,3583.9658203125,5570752966,3583.9658203125
2019-01-28,3586.7509765625,3439.23291015625,3584.283203125,3470.450439453125,6908930483,3470.450439453125
2019-01-29,3476.0654296875,3400.81982421875,3468.8701171875,3448.116943359375,5897159493,3448.116943359375
2019-01-30,3495.1748046875,3429.387939453125,3443.89697265625,3486.181640625,5955112627,3486.181640625
2019-01-31,3504.804931640625,3447.915771484375,3485.4091796875,3457.792724609375,5831198271,3457.792724609375
2019-02-01,3501.9541015625,3431.591552734375,3460.547119140625,3487.9453125,5422926707,3487.9453125
2019-02-02,3523.287353515625,3467.57470703125,3484.6259765625,3521.060791015625,5071623601,3521.060791015625
2019-02-03,3521.38818359375,3447.92431640625,3516.1396484375,3464.013427734375,5043937584,3464.013427734375
2019-02-04,3476.223876953125,3442.5869140625,3467.211669921875,3459.154052734375,5332718886,3459.154052734375
2019-02-05,3478.148193359375,3451.93701171875,3454.950927734375,3466.357421875,5227549545,3466.357421875
2019-02-06,3469.091796875,3398.5654296875,3469.091796875,3413.767822265625,5482196038,3413.767822265625
2019-02-07,3427.945556640625,3394.218505859375,3414.929443359375,3399.4716796875,5004962683,3399.4716796875
2019-02-08,3695.614013671875,3391.023681640625,3401.37646484375,3666.7802734375,7735623101,3666.7802734375
2019-02-09,3679.94140625,3646.559326171875,3671.5859375,3671.20361328125,6158833645,3671.20361328125
2019-02-10,3695.0361328125,3640.97998046875,3673.201416015625,3690.188232421875,6282256903,3690.188232421875
2019-02-11,3695.613037109375,3642.287841796875,3695.613037109375,3648.4306640625,6277056434,3648.4306640625
2019-02-12,3668.5869140625,3618.556884765625,3642.751953125,3653.528564453125,6480384532,3653.528564453125
2019-02-13,3669.74658203125,3617.246337890625,3653.60400390625,3632.070556640625,6438903823,3632.070556640625
2019-02-14,3646.256591796875,3607.69775390625,3631.170166015625,3616.880859375,6271044418,3616.880859375
2019-02-15,3647.795166015625,3608.20654296875,3617.368408203125,3620.810791015625,6091952231,3620.810791015625
2019-02-16,3652.84130859375,3615.270263671875,3615.270263671875,3629.78759765625,5934744052,3629.78759765625
2019-02-17,3680.537353515625,3619.18212890625,3633.359375,3673.836181640625,7039512503,3673.836181640625
2019-02-18,3936.6650390625,3669.982421875,3671.369873046875,3915.71435546875,9908216640,3915.71435546875
2019-02-19,4010.87939453125,3908.153076171875,3911.66162109375,3947.094482421875,9933626655,3947.094482421875
2019-02-20,4000.486328125,3926.246826171875,3946.68505859375,3999.820556640625,8693373948,3999.820556640625
2019-02-21,4010.009521484375,3940.108154296875,4000.2568359375,3954.1181640625,7775128102,3954.1181640625
2019-02-22,4006.538330078125,3950.81640625,3952.406494140625,4005.526611328125,7826525254,4005.526611328125
2019-02-23,4166.2861328125,3968.726806640625,3998.916259765625,4142.52685546875,8922258316,4142.52685546875
2019-02-24,4210.6416015625,3793.708984375,4145.4580078125,3810.427490234375,10794227451,3810.427490234375
2019-02-25,3913.707275390625,3807.00244140625,3807.00244140625,3882.6962890625,9318796067,3882.6962890625
2019-02-26,3891.578857421875,3837.986328125,3878.697265625,3854.35791015625,7931218996,3854.35791015625
2019-02-27,3888.802490234375,3787.058837890625,3857.479736328125,3851.04736328125,8301309684,3851.04736328125
2019-02-28,3906.058349609375,3845.8212890625,3848.261962890625,3854.785400390625,8399767798,3854.785400390625
2019-03-01,3907.79541015625,3851.6923828125,3853.757080078125,3859.583740234375,7661247975,3859.583740234375
2019-03-02,3874.607421875,3832.1279296875,3855.318115234375,3864.4150390625,7578786076,3864.4150390625
2019-03-03,3875.483642578125,3836.90576171875,3862.26611328125,3847.17578125,7253558152,3847.17578125
2019-03-04,3867.3818359375,3733.749755859375,3845.091552734375,3761.55712890625,9029175788,3761.55712890625
2019-03-05,3903.916748046875,3745.18310546875,3759.83251953125,3896.375,10174126415,3896.375
2019-03-06,3919.510498046875,3871.460693359375,3897.0810546875,3903.942626953125,9175291529,3903.942626953125
2019-03-07,3939.373291015625,3894.113037109375,3903.384765625,3911.484375,9584165519,3911.484375
2019-03-08,3950.43212890625,3875.228515625,3913.225830078125,3901.131591796875,10638638944,3901.131591796875
2019-03-09,3987.23779296875,3892.390380859375,3894.552490234375,3963.313720703125,10796103518,3963.313720703125
2019-03-10,3966.17431640625,3924.381103515625,3966.17431640625,3951.599853515625,9713267607,3951.599853515625
2019-03-11,3966.384765625,3889.239013671875,3953.740234375,3905.227294921875,10125901903,3905.227294921875
2019-03-12,3926.88916015625,3863.55908203125,3903.75830078125,3909.15625,9809887079,3909.15625
2019-03-13,3926.59765625,3891.904296875,3913.04736328125,3906.71728515625,9469184841,3906.71728515625
2019-03-14,3946.50439453125,3901.296875,3905.576904296875,3924.369140625,10480789570,3924.369140625
2019-03-15,3968.54296875,3914.015380859375,3926.663330078125,3960.9111328125,9394210605,3960.9111328125
2019-03-16,4077.036376953125,3961.657470703125,3963.900146484375,4048.725830078125,9856166973,4048.725830078125
2019-03-17,4054.1220703125,4006.4111328125,4047.719482421875,4025.22900390625,8221625400,4025.22900390625
2019-03-18,4071.556640625,4009.1171875,4029.968505859375,4032.50732421875,9646954186,4032.50732421875
2019-03-19,4082.216064453125,4023.8125,4032.69189453125,4071.190185546875,9344919956,4071.190185546875
2019-03-20,4089.4619140625,4031.11083984375,4070.7939453125,4087.476318359375,10175916388,4087.476318359375
2019-03-21,4097.35986328125,4005.1513671875,4083.953857421875,4029.326904296875,10831212662,4029.326904296875
2019-03-22,4053.90673828125,4021.54248046875,4028.5146484375,4023.96826171875,9252935969,4023.96826171875
2019-03-23,4049.882568359375,4015.964599609375,4022.71337890625,4035.826416015625,9578850549,4035.826416015625
2019-03-24,4040.69970703125,4006.19287109375,4035.16357421875,4022.168212890625,9144851065,4022.168212890625
2019-03-25,4038.8408203125,3934.03125,4024.11279296875,3963.070556640625,10359818883,3963.070556640625
2019-03-26,3985.080810546875,3944.753173828125,3969.228759765625,3985.080810546875,10707678815,3985.080810546875
2019-03-27,4087.066162109375,3977.810546875,3984.244873046875,4087.066162109375,10897131934,4087.066162109375
2019-03-28,4094.902099609375,4040.266357421875,4087.58447265625,4069.107177734375,9353915899,4069.107177734375
2019-03-29,4113.5009765625,4034.09716796875,4068.2998046875,4098.37451171875,10918665557,4098.37451171875
2019-03-30,4296.806640625,4053.90966796875,4092.13623046875,4106.66015625,9732688060,4106.66015625
2019-03-31,4113.0234375,4094.100830078125,4105.4560546875,4105.404296875,9045122443,4105.404296875
2019-04-01,4164.953125,4096.9013671875,4105.3623046875,4158.18310546875,10157794171,4158.18310546875
2019-04-02,4905.95458984375,4155.31689453125,4156.91943359375,4879.8779296875,21315047816,4879.8779296875
2019-04-03,5307.00341796875,4876.62109375,4879.9580078125,4973.02197265625,22899891582,4973.02197265625
2019-04-04,5063.15966796875,4836.7939453125,4971.3076171875,4922.798828125,18251810240,4922.798828125
2019-04-05,5053.509765625,4919.49169921875,4922.80615234375,5036.68115234375,16837325387,5036.68115234375
2019-04-06,5205.82177734375,4992.22216796875,5036.79296875,5059.8173828125,16929795194,5059.8173828125
2019-04-07,5235.1865234375,5050.412109375,5062.7939453125,5198.89697265625,16655416140,5198.89697265625
2019-04-08,5318.83642578125,5148.2119140625,5199.83544921875,5289.77099609375,17154113634,5289.77099609375
2019-04-09,5289.91796875,5167.4189453125,5289.91796875,5204.95849609375,14722104361,5204.95849609375
2019-04-10,5421.6513671875,5193.38232421875,5204.10546875,5324.5517578125,15504590933,5324.5517578125
